ts,metric,labels,value
1783731364,replicas_status,deployment=workload-edge,1.0
1783731374,replicas_status,deployment=workload-edge,1.0
1783731384,replicas_status,deployment=workload-edge,1.0
1783731394,replicas_status,deployment=workload-edge,1.0
1783731404,replicas_status,deployment=workload-edge,1.0
1783731414,replicas_status,deployment=workload-edge,1.0
1783730774,replicas_spec,deployment=workload-cloud,1.0
1783730784,replicas_spec,deployment=workload-cloud,1.0
1783730794,replicas_spec,deployment=workload-cloud,1.0
1783730804,replicas_spec,deployment=workload-cloud,1.0
1783730814,replicas_spec,deployment=workload-cloud,1.0
1783730824,replicas_spec,deployment=workload-cloud,1.0
1783730834,replicas_spec,deployment=workload-cloud,2.0
1783730844,replicas_spec,deployment=workload-cloud,2.0
1783730854,replicas_spec,deployment=workload-cloud,2.0
1783730864,replicas_spec,deployment=workload-cloud,2.0
1783730874,replicas_spec,deployment=workload-cloud,4.0
1783730884,replicas_spec,deployment=workload-cloud,4.0
1783730894,replicas_spec,deployment=workload-cloud,3.0
1783730904,replicas_spec,deployment=workload-cloud,3.0
1783730914,replicas_spec,deployment=workload-cloud,3.0
1783730924,replicas_spec,deployment=workload-cloud,4.0
1783730934,replicas_spec,deployment=workload-cloud,4.0
1783730944,replicas_spec,deployment=workload-cloud,4.0
1783730954,replicas_spec,deployment=workload-cloud,6.0
1783730964,replicas_spec,deployment=workload-cloud,6.0
1783730974,replicas_spec,deployment=workload-cloud,6.0
1783730984,replicas_spec,deployment=workload-cloud,6.0
1783730994,replicas_spec,deployment=workload-cloud,6.0
1783731004,replicas_spec,deployment=workload-cloud,6.0
1783731014,replicas_spec,deployment=workload-cloud,6.0
1783731024,replicas_spec,deployment=workload-cloud,6.0
1783731034,replicas_spec,deployment=workload-cloud,6.0
1783731044,replicas_spec,deployment=workload-cloud,6.0
1783731054,replicas_spec,deployment=workload-cloud,6.0
1783731064,replicas_spec,deployment=workload-cloud,6.0
1783731074,replicas_spec,deployment=workload-cloud,6.0
1783731084,replicas_spec,deployment=workload-cloud,6.0
1783731094,replicas_spec,deployment=workload-cloud,6.0
1783731104,replicas_spec,deployment=workload-cloud,6.0
1783731114,replicas_spec,deployment=workload-cloud,6.0
1783731124,replicas_spec,deployment=workload-cloud,6.0
1783731134,replicas_spec,deployment=workload-cloud,6.0
1783731144,replicas_spec,deployment=workload-cloud,6.0
1783731154,replicas_spec,deployment=workload-cloud,6.0
1783731164,replicas_spec,deployment=workload-cloud,6.0
1783731174,replicas_spec,deployment=workload-cloud,6.0
1783731184,replicas_spec,deployment=workload-cloud,6.0
1783731194,replicas_spec,deployment=workload-cloud,6.0
1783731204,replicas_spec,deployment=workload-cloud,6.0
1783731214,replicas_spec,deployment=workload-cloud,6.0
1783731224,replicas_spec,deployment=workload-cloud,6.0
1783731234,replicas_spec,deployment=workload-cloud,6.0
1783731244,replicas_spec,deployment=workload-cloud,6.0
1783731254,replicas_spec,deployment=workload-cloud,6.0
1783731264,replicas_spec,deployment=workload-cloud,6.0
1783731274,replicas_spec,deployment=workload-cloud,6.0
1783731284,replicas_spec,deployment=workload-cloud,6.0
1783731294,replicas_spec,deployment=workload-cloud,6.0
1783731304,replicas_spec,deployment=workload-cloud,6.0
1783731314,replicas_spec,deployment=workload-cloud,6.0
1783731324,replicas_spec,deployment=workload-cloud,6.0
1783731334,replicas_spec,deployment=workload-cloud,6.0
1783731344,replicas_spec,deployment=workload-cloud,6.0
1783731354,replicas_spec,deployment=workload-cloud,6.0
1783731364,replicas_spec,deployment=workload-cloud,6.0
1783731374,replicas_spec,deployment=workload-cloud,6.0
1783731384,replicas_spec,deployment=workload-cloud,6.0
1783731394,replicas_spec,deployment=workload-cloud,6.0
1783731404,replicas_spec,deployment=workload-cloud,6.0
1783731414,replicas_spec,deployment=workload-cloud,5.0
1783730774,replicas_spec,deployment=workload-edge,1.0
1783730784,replicas_spec,deployment=workload-edge,1.0
1783730794,replicas_spec,deployment=workload-edge,1.0
1783730804,replicas_spec,deployment=workload-edge,1.0
1783730814,replicas_spec,deployment=workload-edge,1.0
1783730824,replicas_spec,deployment=workload-edge,1.0
1783730834,replicas_spec,deployment=workload-edge,1.0
1783730844,replicas_spec,deployment=workload-edge,1.0
1783730854,replicas_spec,deployment=workload-edge,1.0
1783730864,replicas_spec,deployment=workload-edge,1.0
1783730874,replicas_spec,deployment=workload-edge,1.0
1783730884,replicas_spec,deployment=workload-edge,1.0
1783730894,replicas_spec,deployment=workload-edge,1.0
1783730904,replicas_spec,deployment=workload-edge,1.0
1783730914,replicas_spec,deployment=workload-edge,1.0
1783730924,replicas_spec,deployment=workload-edge,1.0
1783730934,replicas_spec,deployment=workload-edge,1.0
1783730944,replicas_spec,deployment=workload-edge,1.0
1783730954,replicas_spec,deployment=workload-edge,1.0
1783730964,replicas_spec,deployment=workload-edge,1.0
1783730974,replicas_spec,deployment=workload-edge,1.0
1783730984,replicas_spec,deployment=workload-edge,1.0
1783730994,replicas_spec,deployment=workload-edge,1.0
1783731004,replicas_spec,deployment=workload-edge,1.0
1783731014,replicas_spec,deployment=workload-edge,1.0
1783731024,replicas_spec,deployment=workload-edge,1.0
1783731034,replicas_spec,deployment=workload-edge,1.0
1783731044,replicas_spec,deployment=workload-edge,1.0
1783731054,replicas_spec,deployment=workload-edge,1.0
1783731064,replicas_spec,deployment=workload-edge,1.0
1783731074,replicas_spec,deployment=workload-edge,1.0
1783731084,replicas_spec,deployment=workload-edge,1.0
1783731094,replicas_spec,deployment=workload-edge,1.0
1783731104,replicas_spec,deployment=workload-edge,1.0
1783731114,replicas_spec,deployment=workload-edge,1.0
1783731124,replicas_spec,deployment=workload-edge,1.0
1783731134,replicas_spec,deployment=workload-edge,1.0
1783731144,replicas_spec,deployment=workload-edge,1.0
1783731154,replicas_spec,deployment=workload-edge,1.0
1783731164,replicas_spec,deployment=workload-edge,1.0
1783731174,replicas_spec,deployment=workload-edge,1.0
1783731184,replicas_spec,deployment=workload-edge,1.0
1783731194,replicas_spec,deployment=workload-edge,1.0
