ts,metric,labels,value
1783665250,replicas_status,deployment=workload-edge,1.0
1783665260,replicas_status,deployment=workload-edge,1.0
1783665270,replicas_status,deployment=workload-edge,1.0
1783664640,replicas_spec,deployment=workload-cloud,1.0
1783664650,replicas_spec,deployment=workload-cloud,1.0
1783664660,replicas_spec,deployment=workload-cloud,1.0
1783664670,replicas_spec,deployment=workload-cloud,1.0
1783664680,replicas_spec,deployment=workload-cloud,1.0
1783664690,replicas_spec,deployment=workload-cloud,1.0
1783664700,replicas_spec,deployment=workload-cloud,1.0
1783664710,replicas_spec,deployment=workload-cloud,1.0
1783664720,replicas_spec,deployment=workload-cloud,1.0
1783664730,replicas_spec,deployment=workload-cloud,1.0
1783664740,replicas_spec,deployment=workload-cloud,1.0
1783664750,replicas_spec,deployment=workload-cloud,1.0
1783664760,replicas_spec,deployment=workload-cloud,1.0
1783664770,replicas_spec,deployment=workload-cloud,2.0
1783664780,replicas_spec,deployment=workload-cloud,2.0
1783664790,replicas_spec,deployment=workload-cloud,2.0
1783664800,replicas_spec,deployment=workload-cloud,2.0
1783664810,replicas_spec,deployment=workload-cloud,2.0
1783664820,replicas_spec,deployment=workload-cloud,2.0
1783664830,replicas_spec,deployment=workload-cloud,2.0
1783664840,replicas_spec,deployment=workload-cloud,3.0
1783664850,replicas_spec,deployment=workload-cloud,3.0
1783664860,replicas_spec,deployment=workload-cloud,3.0
1783664870,replicas_spec,deployment=workload-cloud,4.0
1783664880,replicas_spec,deployment=workload-cloud,4.0
1783664890,replicas_spec,deployment=workload-cloud,4.0
1783664900,replicas_spec,deployment=workload-cloud,5.0
1783664910,replicas_spec,deployment=workload-cloud,5.0
1783664920,replicas_spec,deployment=workload-cloud,5.0
1783664930,replicas_spec,deployment=workload-cloud,6.0
1783664940,replicas_spec,deployment=workload-cloud,6.0
1783664950,replicas_spec,deployment=workload-cloud,6.0
1783664960,replicas_spec,deployment=workload-cloud,6.0
1783664970,replicas_spec,deployment=workload-cloud,6.0
1783664980,replicas_spec,deployment=workload-cloud,6.0
1783664990,replicas_spec,deployment=workload-cloud,6.0
1783665000,replicas_spec,deployment=workload-cloud,6.0
1783665010,replicas_spec,deployment=workload-cloud,6.0
1783665020,replicas_spec,deployment=workload-cloud,6.0
1783665030,replicas_spec,deployment=workload-cloud,6.0
1783665040,replicas_spec,deployment=workload-cloud,6.0
1783665050,replicas_spec,deployment=workload-cloud,6.0
1783665060,replicas_spec,deployment=workload-cloud,6.0
1783665070,replicas_spec,deployment=workload-cloud,6.0
1783665080,replicas_spec,deployment=workload-cloud,6.0
1783665090,replicas_spec,deployment=workload-cloud,6.0
1783665100,replicas_spec,deployment=workload-cloud,6.0
1783665110,replicas_spec,deployment=workload-cloud,6.0
1783665120,replicas_spec,deployment=workload-cloud,6.0
1783665130,replicas_spec,deployment=workload-cloud,6.0
1783665140,replicas_spec,deployment=workload-cloud,6.0
1783665150,replicas_spec,deployment=workload-cloud,6.0
1783665160,replicas_spec,deployment=workload-cloud,6.0
1783665170,replicas_spec,deployment=workload-cloud,6.0
1783665180,replicas_spec,deployment=workload-cloud,6.0
1783665190,replicas_spec,deployment=workload-cloud,6.0
1783665200,replicas_spec,deployment=workload-cloud,6.0
1783665210,replicas_spec,deployment=workload-cloud,5.0
1783665220,replicas_spec,deployment=workload-cloud,5.0
1783665230,replicas_spec,deployment=workload-cloud,5.0
1783665240,replicas_spec,deployment=workload-cloud,5.0
1783665250,replicas_spec,deployment=workload-cloud,5.0
1783665260,replicas_spec,deployment=workload-cloud,5.0
1783665270,replicas_spec,deployment=workload-cloud,4.0
1783664640,replicas_spec,deployment=workload-edge,1.0
1783664650,replicas_spec,deployment=workload-edge,1.0
1783664660,replicas_spec,deployment=workload-edge,1.0
